number,name,university
12510551,המעבר מימי הביניים לעת החדשה - ב,BGU
12510561,אשת מדנים ואיילת אהבים - א,BGU
12511011,תולדות עם ישראל בתקופת המשנה והתלמוד,BGU
12511091,מבוא לתולדות היהודים בימי הביניים,BGU
12511151,מבוא לתולדות היהודים בימי הביניים- א,BGU
12511221,מבוא להיסטוריה יהודית,BGU
12511224,מבוא לתולדות היהודים בתקופה המודרנית,BGU
12511225,מבוא להיסטוריה יהודית מודרנית - חלק א,BGU
12511341,מדיניות רומית ויהודית,BGU
12511421,היבטים בחיי המ\' היהודית באיט\' בעת החד,BGU
12511651,חברה דת ומשטר בסוף תקופת בית שני,BGU
12511691,מבוא לתולדות היהודים בימי הביניים - ב,BGU
12511861,מבוא לתולדות עם ישראל בתקופת המשנה והתלמוד,BGU
12511891,החברה היהודית בסוף תקופת בית שני,BGU
12511921,תולדות עם ישראל בימי הבית השני,BGU
12511931,תולדות עם ישראל בתקופת הבית השני - ב,BGU
12511941,קוי יסוד בתולדות ישראל בארצות הנצרות,BGU
12512061,מבוא להיסטוריה יהודית מודרנית ב,BGU
12512065,מבוא להיסטוריה מודרנית - ב\',BGU
12512261,תולדות היהודים בספרד,BGU
12512641,תולדות עם ישראל משיבת ציון ועד חורבן,BGU
12512721,"תמורות ביהדות ברה\""מ בעת החדשה",BGU
12512741,מבוא לתקופת בית שני,BGU
12512751,התקופה ההלניסטית עד חורבן הבית,BGU
12512791,קוי יסוד בתולדות ישראל בתקופת המשנה,BGU
12512841,תולדות עם ישראל מכיבוש פומפיוס,BGU
12512881,סוגיות נבחרות בממלכת החשמונאים - א,BGU
12513161,מבוא לתולדות היהודים בתקופה המודרנית,BGU
12513171,מבוא לתולדות היהודים בתקופה המודרנית,BGU
12513201,קוי יסוד בתולדות ישראל בעת החדשה,BGU
12513211,קוי יסוד בתולדות ישראל בעת החדשה,BGU
12513221,קהילות ישראל,BGU
12513241,קידוש השם בהלכה ובאגדה,BGU
12513401,תולדות עם ישראל מגזרות השמד ועד לרבי,BGU
12513451,קנאים וקנאות ב,BGU
12513591,ארץ הגליל בתקופת המשנה והתלמוד,BGU
12513841,תולדות עם ישראל מחורבן בית שני,BGU
12513861,יהודה בצילה של רומי,BGU
12513911,יהדות התפוצות,BGU
